2025-11-08T00:58:32.480Z||GDogjAPt5doOW0Oq||C|||[{"BootInfo":{"program":"1.2.2-1231321.jar","region":"use-1","version":"1.2.3","external-ip":"12.2.2.2","internal-ip":"12.2.2.2","platform":{"cloud":"aws"}},"AppNodeConfig":{"hostId":"node-123.test.test","applicationName":"bitryon-logging-integration-java-spring-example","httpHeaderIdType":1},"Github":{"host":"https://github.com/","repository":"RepoOwner/bitryon-logging-integration-java-spring-example","branch":"main","commit":"xxxxxxx","sourcePaths":["src/main/java"]},"LoggerConfig":{"fileName":"./logs/bitryon-logging-integration-java-spring-example","logSanitizerPatterns":["/JSON/*Service*.java*.service.*UserService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*MedicService*#*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)","/JSON/*.java*.Medic*#*/*/MASK$4(deceases)/yyyy-MM-dd HH:mm:ss.ssss/DATE_FORMATER(timeCreated)","/HTTP/*LoggingHttpRequestWebReader#readHttpRequest*/*/MASK(driverLisenceId)/*/MASK$2(name)//SKIP(birthday)"],"logLight":true,"logPretty":false,"printStdout":true,"printFile":true,"logAsync":true,"fileMaxLength":536870912,"logDateTimeFormat":"yyyy-MM-dd HH:mm:ss.SSS","loggerSchemaVersion":"1.0"}}]
2025-11-08 00:58:48.571|52|2JMwXT2zeiHsTRFYPtdQkLLFfIOkmvBx|1|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-11-08 00:58:48.572|52|2JMwXT2zeiHsTRFYPtdQkLLFfIOkmvBx|2|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:48.572|52|2JMwXT2zeiHsTRFYPtdQkLLFfIOkmvBx|3|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-11-08 00:58:48.572|52|7PuYGCiH22fZ10tFzpxy9Plfw721bbbC|1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:48.572|52|5I4f29MlEdg6VbiP9das8lUhXmHjX92e|1|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-11-08 00:58:48.572|52|5I4f29MlEdg6VbiP9das8lUhXmHjX92e|2|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:48.572|52|5I4f29MlEdg6VbiP9das8lUhXmHjX92e|3|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-11-08 00:58:48.573|52|2N4YS1iynRlUyInef8McDaO3Jw41g1uc|1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:48.573|52|62PqdUcJLD0ubyPWCZfil3cAyHAP1bqf|1|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-11-08 00:58:48.573|52|62PqdUcJLD0ubyPWCZfil3cAyHAP1bqf|2|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:48.573|52|62PqdUcJLD0ubyPWCZfil3cAyHAP1bqf|3|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
2025-11-08 00:58:48.574|52|7ADYXNwgzG1xHieegCs6jGUWzWm3UejW|1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:48.574|52|xoNE8TEY8hkYMNdZqntFWaIJy2JVfBBR|1|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:48.574|52|4Wx09hI0XLRXXccAkawq16wCyU8WwJbH|1|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#|[{"recipient":"som***own","verificationUrl":"http://localhost/verifyyouremail"}]
2025-11-08 00:58:48.574|52|4Wx09hI0XLRXXccAkawq16wCyU8WwJbH|2|T||#SMTPEmailService#sendVerificationUrl#21|<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>
2025-11-08 00:58:48.574|52|4Wx09hI0XLRXXccAkawq16wCyU8WwJbH|3|J|Send Verification Url To Customers|#SMTPEmailService#sendVerificationUrl#16#R|["<html><body>Please click on the <a href='http://localhost/verifyyouremail'>link</a> or copy http://localhost/verifyyouremail to your brower before it expires in 10 minutes.</body></html>"]
